T,E,C,target,R_adjusted_predicted
49,0.6952,0.510737735,0.293211998,0.29208065242226405
49,0.7266,0.524616231,0.294118976,0.29291715204914404
37,0.7266,0.530135301,0.288195566,0.2894944043776226
49,0.7375,0.432190009,0.296316437,0.2967783259209841
49,0.7389,0.402079086,0.296951795,0.29794401701354406
61,0.7561,0.404856992,0.303358571,0.3012192842867577
49,0.7576,0.46513825,0.296431141,0.29643015351146407
37,0.7587,0.431262377,0.291311593,0.2945011451469026
37,0.7705,0.556470562,0.289329403,0.2904093665937026
49,0.7735,0.486906894,0.296605025,0.29631244190378403
73,0.7768,0.402283157,0.31,0.30443842419348405
49,0.7817,0.503844333,0.29658414,0.29604203314370403
61,0.7866,0.45113115,0.30360468,0.3008276322049977
61,0.7902,0.440337679,0.303948428,0.30137830046011777
49,0.794,0.580609545,0.295558515,0.29375051555906406
49,0.7945,0.410391532,0.298872614,0.3000223559964241
49,0.6848,0.564772285,0.291776511,0.28965065574626403
49,0.4972,0.414481363,0.287662084,0.287126926402104
61,0.4995,0.426877217,0.293324781,0.28941025962475775
37,0.5359,0.580359104,0.280083156,0.27947487733146265
37,0.5525,0.564494891,0.281011812,0.2807690532328226
61,0.6174,0.535885735,0.295628754,0.2904618398437977
13,0.1589,0.498344351,0.255922379,0.2564321853049589
13,0.1595,0.574868919,0.254463348,0.25364792516799894
13,0.1607,0.627845341,0.253482667,0.25175407495215896
13,0.1614,0.544720167,0.255118159,0.25483644034143893
25,0.178,0.525759627,0.261923321,0.2620073320605465
13,0.1907,0.608276348,0.254984762,0.25375874837511897
37,0.1909,0.594420198,0.266893626,0.2641684039597826
25,0.2,0.673101562,0.25989453,0.2575400762073465
31,0.2032,0.541901312,0.265462628,0.26470408177217175
19,0.2062,0.508563842,0.260403795,0.26124681387580806
25,0.2127,0.456698326,0.264559549,0.2660308520332665
19,0.2183,0.730511908,0.256559978,0.25361560789228804
13,0.2201,0.620216758,0.255854378,0.25458067451991895
61,0.2242,0.486085743,0.281870879,0.27543401155003777
19,0.2274,0.559090702,0.260219367,0.26030031157660805
13,0.2278,0.563777303,0.257235332,0.25698323030751896
25,0.2312,0.609885456,0.262286552,0.26119891561966646
19,0.232,0.612655051,0.259354606,0.25853063068132803
19,0.2354,0.543133816,0.260827821,0.26122920843052805
13,0.236,0.560480121,0.257606184,0.25745583683055895
25,0.2419,0.531196606,0.264210573,0.2645470791916665
19,0.2497,0.609227188,0.260083682,0.25941530081068803
25,0.2513,0.641147127,0.262433908,0.2609126740605465
25,0.253,0.514643262,0.264946642,0.26563077498334653
25,0.255,0.591221065,0.263538997,0.26290457805718653
25,0.2587,0.485931327,0.265715914,0.2669294362365465
25,0.2592,0.535767894,0.264769811,0.2651208724963065
37,0.2681,0.500445533,0.271603434,0.27092871765858256
25,0.2687,0.521781477,0.265396279,0.26604171872854654
19,0.2695,0.66195284,0.259804268,0.25832804086924804
19,0.2786,0.63216687,0.260721635,0.25981189868764804
37,0.2831,0.513410345,0.271914061,0.2710956997619426
25,0.2836,0.58879622,0.264656768,0.2642197003655865
25,0.2851,0.595511976,0.264582915,0.2640374028052665
25,0.2943,0.490616749,0.266958122,0.2682835595407065
37,0.2957,0.489529499,0.272848151,0.2725127664270626
49,0.2984,0.533403419,0.277916417,0.2742375525057841
37,0.3056,0.541107214,0.27222029,0.27104324573226257
37,0.3075,0.603496159,0.271083594,0.2688337766718626
19,0.3082,0.583222736,0.262777449,0.26287807928812806
25,0.3121,0.625264398,0.265017835,0.2641023838694265
37,0.3134,0.609518835,0.271187901,0.2688655570091426
25,0.3149,0.573514287,0.266124541,0.2661226839453465
25,0.3195,0.589085814,0.265995311,0.2657480994739065
25,0.3222,0.667810277,0.264572317,0.2629730861925465
49,0.3315,0.488773952,0.280019745,0.2772953435340241
37,0.3317,0.609518835,0.27187308,0.2696500780091426
25,0.3333,0.572735506,0.266828541,0.2669400887836665
25,0.3354,0.535468145,0.267628655,0.26839857327958644
31,0.3366,0.597528794,0.269380387,0.2683802986331318
37,0.3371,0.571920863,0.272803152,0.2712621735409826
25,0.3387,0.555468272,0.267365014,0.2678056396161465
37,0.3446,0.485685575,0.274753457,0.27475025831634264
25,0.3454,0.549964079,0.267722432,0.26829498258310647
37,0.3478,0.646088903,0.271767901,0.26899743211218263
25,0.3484,0.629899555,0.266287226,0.2654883619043865
49,0.351,0.479333039,0.280932627,0.278477978859384
13,0.3515,0.56834343,0.261778444,0.26211858112407893
25,0.3544,0.462973477,0.269743522,0.2718751074885465
37,0.3567,0.659261899,0.271846104,0.2688952626990626
13,0.3583,0.575088251,0.261902468,0.26216242729695893
31,0.3591,0.596672415,0.2702394,0.26937631987001176
37,0.3606,0.562157201,0.273872049,0.27262814020962256
37,0.362,0.530893924,0.274529716,0.2738361457410626
37,0.3622,0.478840371,0.275544948,0.27575612620722256
25,0.3629,0.646440372,0.266509901,0.2655025981041465
37,0.3656,0.641439852,0.272524364,0.2699312312649026
25,0.368,0.5247264,0.269057205,0.2701905721559865
37,0.369,0.587855601,0.273689042,0.2720446029616226
25,0.3726,0.62017967,0.267381484,0.2668827300815865
37,0.3815,0.505026197,0.275760618,0.2756219736765026
49,0.3826,0.50020135,0.281711773,0.279066386479464
31,0.3831,0.606588517,0.270946022,0.2700410806045717
25,0.3866,0.542472714,0.269410052,0.2703363095059065
49,0.3869,0.51975714,0.281494176,0.2785326388706641
25,0.389,0.666932247,0.267090406,0.26586904345414647
37,0.3898,0.541981033,0.275355945,0.2746208130985826
37,0.3906,0.572921518,0.274786899,0.2735189744893826
43,0.3912,0.567813246,0.277816539,0.2754303116779137
13,0.4009,0.648956557,0.262067403,0.26127624510063896
19,0.4011,0.696758916,0.26405773,0.26269165375852804
25,0.4013,0.569561671,0.269436006,0.2699717920048665
49,0.4023,0.547699301,0.281529822,0.27816680071874406
37,0.4026,0.512117674,0.276413344,0.2762661316410626
19,0.4034,0.578039494,0.266442224,0.267149631934368
19,0.4046,0.539052989,0.267241923,0.268632660397968
13,0.4125,0.622855528,0.263007033,0.2627319668855189
25,0.414,0.628735133,0.26876593,0.2683433914802265
31,0.4159,0.52223751,0.273807117,0.27454458558161177
37,0.4166,0.447470515,0.278189077,0.2792401553195426
61,0.4183,0.483897961,0.289180625,0.28383541390507777
43,0.4193,0.603496159,0.278177833,0.27532468211255373
37,0.4197,0.461258298,0.278038218,0.27886676492778256
37,0.4199,0.537825226,0.276563389,0.2760638013316226
37,0.4211,0.65855376,0.274271045,0.2716820935631426
25,0.4293,0.532838634,0.271195317,0.27252062192350646
43,0.4308,0.556761745,0.279513176,0.2775337747946337
13,0.4348,0.506225994,0.266099897,0.26797060437399894
25,0.4373,0.513929372,0.271860927,0.27355793002414647
25,0.4406,0.599605214,0.270325821,0.27055338410590646
25,0.4414,0.545164209,0.271409738,0.2725867538095065
37,0.4418,0.648339907,0.275243821,0.2729445552453026
49,0.4443,0.560257966,0.282859231,0.2795061865399441
13,0.4444,0.539054551,0.265823783,0.267176691760959
37,0.4456,0.568272635,0.276936181,0.2760475314731426
31,0.4499,0.601616576,0.273543368,0.27308736627809177
25,0.451,0.546422461,0.271744817,0.27295210279606646
49,0.4516,0.488890402,0.284514212,0.28243975449002406
61,0.4524,0.55414843,0.289097348,0.2827176836833978
25,0.4531,0.58723458,0.271033332,0.2715435087863865
37,0.4554,0.545606952,0.27774191,0.2772999413529026
37,0.4556,0.514351127,0.278354503,0.2784562292469026
37,0.4586,0.615398366,0.276510578,0.2748743846308226
37,0.4613,0.513410345,0.278586133,0.2787351337619426
25,0.4659,0.597702949,0.271309918,0.2717078462767065
25,0.4668,0.581214917,0.271662819,0.2723518698117465
25,0.4698,0.593445383,0.271538365,0.2720313771002265
37,0.4737,0.575901293,0.277840598,0.2769720541513826
25,0.4749,0.596255021,0.271674923,0.2721468441928665
25,0.4754,0.569992144,0.272202086,0.2731326520363065
37,0.4779,0.553367425,0.278434102,0.2779795517843426
25,0.4829,0.475326429,0.274315602,0.2769303020911065
37,0.4848,0.517690732,0.27938314,0.2795854029513026
37,0.4848,0.517284251,0.27939101,0.2796003289336226
49,0.4875,0.566536893,0.284355145,0.28112760834050404
37,0.4894,0.530994024,0.279297823,0.2792941080690626
31,0.4913,0.539861131,0.276289016,0.27712984421849174
61,0.4948,0.553216312,0.290702912,0.28456959905635776
37,0.4951,0.544072109,0.279258051,0.2790582397878626
37,0.4962,0.555729101,0.27907356,0.2786773520416226
37,0.4993,0.52199474,0.279842717,0.2800489747775426
37,0.5002,0.576530681,0.278820612,0.2780849980240226
37,0.5017,0.488912292,0.280573045,0.2813666502681026
31,0.5054,0.670383734,0.274290055,0.27294152123633175
61,0.5061,0.490257805,0.292344862,0.28736586643339773
37,0.5091,0.53186894,0.280018482,0.2801065201535426
37,0.5111,0.648031347,0.277844489,0.2759267765685026
49,0.5121,0.508304667,0.286403566,0.28432049767922407
49,0.5122,0.566536893,0.285279949,0.28218649734050405
37,0.5133,0.537222803,0.280072086,0.2800899803041826
25,0.5137,0.685888872,0.271392363,0.2705188451841465
37,0.5138,0.575315182,0.279353348,0.2787126631473026
37,0.5151,0.458210856,0.281669133,0.2830684649980226
37,0.5196,0.493516967,0.281154102,0.2819649396021026
25,0.5229,0.497537362,0.275383263,0.2778295166313465
37,0.5234,0.539437295,0.280407373,0.28044165115794256
25,0.5244,0.474821604,0.275879197,0.2787279442651065
25,0.5285,0.577944993,0.274036264,0.2751170204210265
37,0.5299,0.460724891,0.282174596,0.2836106256328226
37,0.5299,0.609518835,0.279293982,0.2781469120091426
37,0.5299,0.655342701,0.278406843,0.27646425964962257
61,0.5303,0.531506927,0.292452373,0.28688865267355773
25,0.5304,0.496923635,0.275675956,0.27817357768678647
37,0.5322,0.554671695,0.280441924,0.2802594999899426
13,0.5378,0.535454603,0.269390511,0.27131293985151894
61,0.5386,0.444369265,0.294450101,0.29044416862219774
25,0.5387,0.687397433,0.272299195,0.2715352008242265
25,0.5398,0.691655,0.272257955,0.27142601996398646
19,0.5411,0.709614885,0.269050649,0.268221382576848
37,0.542,0.555658995,0.280789737,0.2806433723339426
37,0.5435,0.560985893,0.280742772,0.2805120736393826
37,0.5476,0.567041986,0.280779037,0.2804654609044226
25,0.5505,0.64616142,0.273539323,0.2735552532215865
37,0.5511,0.603448769,0.280205256,0.27927864883266257
37,0.5522,0.528097546,0.281705223,0.2820927027412226
25,0.5532,0.545397215,0.275591185,0.27737106382918647
25,0.554,0.626579938,0.274049461,0.27442433024062646
25,0.5543,0.612138989,0.274340267,0.2749674628879065
37,0.5554,0.56379271,0.281133986,0.2809191603191426
49,0.5565,0.516764334,0.287902191,0.28591328670698407
25,0.5567,0.539656066,0.275833377,0.27773192382046646
37,0.5577,0.537927738,0.281720841,0.2819675230909826
49,0.5599,0.50014748,0.28835119,0.28666921558586406
31,0.5606,0.511177295,0.279439022,0.28115400567641174
73,0.5612,0.424267767,0.301502,0.294388377314284
37,0.564,0.613837351,0.280487131,0.27945020310162255
37,0.5647,0.541079715,0.28192191,0.2821518724955426
49,0.5653,0.519607748,0.288176628,0.28618613254490405
25,0.5694,0.546188757,0.276182413,0.2780364924069465
49,0.5721,0.412941488,0.290496263,0.29039443361210404
37,0.5731,0.579745888,0.281487851,0.2810921586229826
37,0.5733,0.638591331,0.280356106,0.27893992795602257
37,0.5754,0.476469198,0.283573377,0.2849830796797826
37,0.5757,0.578241642,0.28161432,0.2812588565361026
37,0.5766,0.522416025,0.282728788,0.28334735619234264
61,0.5792,0.490003641,0.295086755,0.2905089963354777
37,0.5841,0.581231748,0.281870941,0.2815091678437826
43,0.5841,0.479871077,0.286741539,0.2869291711235937
37,0.5859,0.541107214,0.282715137,0.2830597067322626
37,0.586,0.556855922,0.28241399,0.2824857011745026
61,0.5888,0.563427945,0.294024717,0.28822440789259773
43,0.5892,0.415514676,0.288178415,0.2895109751683137
19,0.5919,0.59726462,0.273127749,0.27452468030764804
37,0.593,0.565194108,0.282514655,0.2824796129845826
31,0.5933,0.473592204,0.281390996,0.28393597921793173
43,0.5935,0.545378753,0.285825277,0.2849267072608737
37,0.5942,0.482397861,0.284162499,0.28557133517442257
61,0.5976,0.526324014,0.295072525,0.28996412023891777
37,0.598,0.64576645,0.281142002,0.27973534658634264
37,0.599,0.637682074,0.281335955,0.28007507487306255
37,0.5993,0.576530681,0.282531063,0.2823334150240226
61,0.6005,0.503325951,0.295626342,0.2909329321122777
43,0.6015,0.5391303,0.286245777,0.28549911045503373
37,0.6026,0.513724067,0.28387054,0.2847811448901026
37,0.6036,0.581882916,0.282588443,0.2823212219548226
25,0.6054,0.683381804,0.274874283,0.2745420837211065
37,0.6059,0.599746015,0.282328734,0.2817638899595426
37,0.6068,0.537223702,0.283572847,0.2840982922929026
43,0.6093,0.474989828,0.287779564,0.2881887345868737
37,0.6108,0.529796266,0.283866407,0.2845425077428226
37,0.6112,0.613776401,0.282255549,0.2814759051856226
61,0.612,0.472489991,0.296653895,0.29255823356347777
37,0.6126,0.469265143,0.285105669,0.2868423765793826
25,0.6128,0.61072659,0.276557937,0.2775272211791865
30,0.6144,0.570446957,0.279821214,0.2809381313758419
61,0.6148,0.432159153,0.297539527,0.2941592179348378
19,0.6161,0.638139555,0.273242505,0.27406120669444806
49,0.6171,0.511387724,0.290275235,0.288708637826184
61,0.6189,0.449147503,0.297364146,0.29371117272283775
37,0.6191,0.487550172,0.284995045,0.2864496053145026
25,0.6225,0.577702822,0.277560451,0.27915569294014647
25,0.6231,0.573450002,0.27766525,0.27933757849054647
37,0.6232,0.57761055,0.283405008,0.2833183552343426
37,0.6237,0.488517176,0.285148555,0.2866112989276226
37,0.6237,0.526401947,0.284415115,0.2852201701365026
61,0.6246,0.444307221,0.297671269,0.2941332668778778
31,0.6246,0.569992144,0.280696636,0.2817380044211318
61,0.6296,0.53959665,0.296013697,0.2908485890449978
37,0.6321,0.569247882,0.283900137,0.2840069754033026
37,0.6324,0.587007618,0.283567545,0.28336769889738256
43,0.6325,0.505101744,0.288065247,0.2880776090313537
37,0.6344,0.479920241,0.285715613,0.2873856873808226
49,0.6354,0.437491815,0.29239102,0.29220661660466407
37,0.6355,0.489691292,0.285567634,0.2870740513881026
61,0.6355,0.485175422,0.297288183,0.2930998695371577
37,0.636,0.582646114,0.283786772,0.2836821853242626
37,0.637,0.611700323,0.283261731,0.2826581847697826
37,0.6415,0.508751983,0.285423272,0.28663136281458257
61,0.6421,0.484703844,0.297544427,0.29340012788131775
25,0.6436,0.525173931,0.279367413,0.2819891108176665
43,0.6454,0.609404808,0.286528961,0.2848006235212737
61,0.6459,0.473389521,0.297905747,0.29397849582187774
25,0.6465,0.621329398,0.277614447,0.2785826050694265
25,0.6466,0.452693235,0.280882945,0.2847792119747865
31,0.6483,0.507906696,0.282785958,0.2850338010716918
37,0.6486,0.598204874,0.283957321,0.2836510296570626
25,0.6489,0.58233798,0.278459171,0.2801172579383865
41,0.6502,0.566250439,0.286574711,0.2860465212572526
61,0.6502,0.452903428,0.298463351,0.29491508615683776
61,0.6512,0.417265759,0.299190729,0.2962665713625177
37,0.6515,0.485101617,0.286255552,0.2879285042541026
61,0.6519,0.498369172,0.297646796,0.29331846303715775
49,0.6523,0.428029088,0.293206977,0.29327859094010406
13,0.6524,0.590695392,0.272611857,0.27419740007943894
37,0.6529,0.529252441,0.285453221,0.28636730399682264
24,0.6529,0.507252196,0.279577865,0.28264312300630123
49,0.654,0.467826205,0.292500165,0.29189011980386403
49,0.6553,0.522042595,0.291499224,0.289955024963064
31,0.6556,0.691655,0.279501959,0.27859951434881175
37,0.6561,0.481968175,0.286488446,0.2882407662443426
37,0.6568,0.50151522,0.286136229,0.2875530077519426
37,0.6577,0.468560129,0.286807928,0.2888017016934626
25,0.6588,0.657461004,0.277375478,0.27778315349710647
37,0.6593,0.575901293,0.284789737,0.2849287261513826
31,0.6619,0.551591491,0.282449435,0.2840127273992918
37,0.663,0.506958527,0.286262985,0.2876189235189026
49,0.6649,0.558332728,0.291156094,0.28903400327930406
37,0.6659,0.548555122,0.285566265,0.2862158195505026
37,0.6674,0.485101617,0.286850872,0.2886101372541026
37,0.6675,0.598204874,0.284664965,0.2844612726570626
61,0.6679,0.562066596,0.297012693,0.29166541362787773
37,0.668,0.490223929,0.28677417,0.2884477679574626
25,0.6689,0.482476188,0.2811413,0.28464158294062647
37,0.67,0.553914689,0.285616016,0.2861947832502626
37,0.6706,0.561923841,0.285483425,0.28592640918882256
49,0.6709,0.50020135,0.292506152,0.291425807479464
49,0.6713,0.447067496,0.293549786,0.293394030598344
37,0.6713,0.546434113,0.285809512,0.2865252010009826
49,0.6715,0.553041444,0.291505645,0.28951124122778404
13,0.6716,0.678595043,0.271629018,0.27179282889471895
37,0.6716,0.555887193,0.285637735,0.2861909449033826
49,0.6719,0.573939869,0.291116034,0.28876099906178404
37,0.6724,0.581163197,0.285178351,0.2852971060365026
61,0.6728,0.497984586,0.298436768,0.29422856803507774
25,0.6735,0.464777556,0.281656172,0.28548867870766653
37,0.6735,0.560294152,0.285623556,0.2861105743689026
37,0.674,0.409980805,0.288552306,0.2916515154707426
49,0.6741,0.549240707,0.291676575,0.28976226629042406
37,0.6745,0.538619959,0.286080604,0.2869493207358626
37,0.6746,0.49515301,0.286925858,0.2885497141031426
37,0.6752,0.552909598,0.28583017,0.2864546141917826
61,0.6756,0.49026374,0.298691078,0.29463211350019775
37,0.676,0.513410345,0.286624818,0.28793932276194256
37,0.6761,0.513410345,0.286628563,0.28794360976194255
13,0.6764,0.5773914,0.273768014,0.27571480266567894
61,0.6771,0.414081531,0.300222109,0.29749382921467776
61,0.6779,0.460299722,0.299357289,0.29583099324115775
25,0.6779,0.550383544,0.280163604,0.2825338548283065
49,0.6783,0.590253746,0.291039827,0.28843632149834403
43,0.679,0.573303821,0.288485901,0.2875666837639137
31,0.679,0.590380725,0.282338735,0.2833214637268118
37,0.6793,0.489290332,0.287215333,0.2889664806393026
25,0.6795,0.550383544,0.28022351,0.2826024468283065
37,0.6795,0.495334112,0.287105815,0.2887531270377026
73,0.6798,0.463262358,0.305187634,0.298040877932764
37,0.6802,0.55218444,0.286031416,0.28669559199354255
43,0.6806,0.671954757,0.28663595,0.2840128133939937
37,0.6806,0.566008268,0.285778767,0.2862051290293826
37,0.6809,0.523704559,0.286608988,0.2877713822238626
49,0.6809,0.605894304,0.290834377,0.28797346220858405
37,0.6813,0.556215181,0.285994567,0.2865947401840226
19,0.6817,0.639200077,0.275678134,0.27683453632660804
49,0.682,0.498541256,0.292953891,0.291962623131144
37,0.6822,0.517817304,0.286771638,0.2880432932274626
19,0.6826,0.525866582,0.27790594,0.28103472526300805
19,0.6829,0.676653426,0.274997976,0.27551069335132805
43,0.6829,0.545482976,0.289170527,0.28875545819231374
31,0.6831,0.640579748,0.281520404,0.28165392260225175
31,0.6836,0.644274035,0.281467604,0.2815397033836118
49,0.6843,0.562512687,0.291801536,0.28971219318482405
25,0.6844,0.594537554,0.279552162,0.2811911745811065
37,0.6844,0.444227646,0.288278687,0.2908398194692226
49,0.6846,0.548846657,0.292077339,0.29022687080642406
37,0.685,0.545364781,0.286343162,0.2871517858720226
49,0.685,0.553041444,0.292011105,0.29008998622778404
37,0.6863,0.607078557,0.285197072,0.2849413870173026
37,0.6864,0.53726904,0.286552311,0.2875090794815426
37,0.6866,0.510794807,0.287072334,0.28848978731730257
37,0.6867,0.546243499,0.286389801,0.2871923983470626
31,0.6871,0.573687427,0.282965189,0.2842816886293718
37,0.6872,0.611700323,0.285141294,0.2848102587697826
37,0.6873,0.620584308,0.284973046,0.2844883258405826
37,0.6875,0.596798315,0.285441025,0.28537032150354263
37,0.6878,0.571920863,0.285933879,0.28629668254098256
25,0.6879,0.486755572,0.28176984,0.2852989739601465
37,0.688,0.545364781,0.286455486,0.28728039587202264
37,0.688,0.648967685,0.28444976,0.28347609723714257
37,0.6881,0.523704559,0.286878567,0.28808004622386263
61,0.6882,0.541848119,0.29816418,0.29327809710331776
49,0.6883,0.464428892,0.293850179,0.29348531013722406
37,0.6883,0.477758645,0.287775557,0.2897757541859426
37,0.6885,0.48744922,0.287595438,0.28942849027194256
37,0.6886,0.638591331,0.284673108,0.2838828389560226
37,0.6887,0.631700451,0.284810258,0.2841401590696226
49,0.6888,0.496498596,0.293248039,0.29232914560634404
49,0.6889,0.506015847,0.293067531,0.29198395914962405
25,0.6889,0.59794512,0.27965468,0.28125896375758647
49,0.689,0.454294803,0.294072582,0.29388744288530405
61,0.6891,0.500756772,0.298993396,0.2948255543651578
13,0.6893,0.617578494,0.273472997,0.27479215557399894
49,0.6898,0.568971037,0.291882432,0.28971082757282407
37,0.6904,0.61406555,0.285215316,0.28486059163434263
61,0.6908,0.495348858,0.299161742,0.29509701196723775
37,0.6909,0.592646348,0.285648707,0.2856685397317826
37,0.6909,0.634466866,0.284839072,0.28413289031082256
37,0.6913,0.598204874,0.285556072,0.2854815786570626
25,0.6914,0.597183868,0.279763021,0.2813940919310265
49,0.6914,0.458329545,0.29408433,0.293842175159064
31,0.6915,0.588781421,0.282837715,0.28391606516969176
49,0.6916,0.490408263,0.293470782,0.29267281863410405
61,0.6916,0.462064601,0.29983607,0.2963535058842777
49,0.6918,0.475092118,0.293774787,0.29324380147850404
31,0.6919,0.567650779,0.283261776,0.2847091303439318
37,0.692,0.564601709,0.28623283,0.28674549587586257
37,0.6921,0.488616681,0.287707625,0.2895399531040226
37,0.6922,0.603496159,0.285487332,0.2853258656718626
49,0.6922,0.568648584,0.291978534,0.289825556046984
37,0.6925,0.44859772,0.288497359,0.2910265973519426
49,0.6925,0.457824884,0.294135285,0.29390786331098406
37,0.6929,0.490269514,0.28770558,0.2895135570762626
61,0.6929,0.415229288,0.300791464,0.29812902957763776
49,0.6929,0.520844837,0.292930211,0.29161091863682403
37,0.693,0.555901166,0.286438712,0.2871078498148226
49,0.6931,0.53244712,0.292713082,0.29119345680506403
61,0.6931,0.460002443,0.299932155,0.2964935333260378
61,0.6932,0.442020782,0.30028402,0.29715810691795774
37,0.6933,0.53770125,0.28680229,0.2877890117303426
37,0.6934,0.513410345,0.2872763,0.28868526076194256
37,0.6939,0.519680353,0.287173635,0.2884764610681826
49,0.694,0.583894903,0.291750764,0.28934287721330404
37,0.6941,0.531005273,0.286961876,0.28806918400578263
25,0.6945,0.50044509,0.281751928,0.2850792368591865
25,0.6946,0.469960469,0.282345847,0.2862029191423065
37,0.6948,0.464058327,0.288284161,0.2905574848629026
37,0.695,0.531534864,0.28698532,0.2880883204242626
37,0.6951,0.503130103,0.287538974,0.2891356302481826
37,0.6952,0.457540168,0.288425328,0.2908139796613826
49,0.6956,0.500443521,0.293426268,0.29247580396034406
61,0.6958,0.437177519,0.300475132,0.29744741353531773
13,0.6958,0.50095944,0.275974082,0.27935306223687895
49,0.6959,0.571579276,0.29206033,0.289876560036744
73,0.6959,0.535099627,0.30439969,0.296093220415084
61,0.6959,0.426883305,0.30067817,0.29782970407339776
37,0.6961,0.505772432,0.28752526,0.2890814739273026
61,0.6966,0.56592104,0.298012643,0.29275424744419776
61,0.6969,0.562477634,0.298090539,0.29289355031251774
61,0.6969,0.482099012,0.299646649,0.2958450533123577
